competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto
Brasileirao,2013,29,Arena Joinville,visitante,FLAMENGO - RJ,pro,Marcelo Moreno,78.0
Brasileirao,2013,29,Arena Joinville,visitante,FLAMENGO - RJ,pro,Renato Abreu,80.0
Brasileirao,2013,30,Vila Belmiro,visitante,GREMIO - RS,pro,Vargas,11.0
Brasileirao,2013,30,Vila Belmiro,mandante,SANTOS - SP,pro,Willian José,78.0
Brasileirao,2013,31,Raulino de Oliveira,mandante,VASCO DA GAMA - RJ,pro,Alisson,69.0
Brasileirao,2013,31,Raulino de Oliveira,mandante,VASCO DA GAMA - RJ,pro,Abuda,90.5
Brasileirao,2013,32,Orlando Scarpelli,visitante,NAUTICO - PE,pro,Rogerio,82.0
Brasileirao,2013,33,Morumbi,visitante,GOIAS - GO,pro,Rodrigo,2.0
Brasileirao,2013,34,Lourival Baptista,visitante,BOTAFOGO - RJ,pro,Vitinho,7.0
Brasileirao,2013,34,Lourival Baptista,mandante,BAHIA - BA,pro,Fernandao,40.0
Brasileirao,2013,34,Lourival Baptista,mandante,BAHIA - BA,pro,Fernandao,68.0
Brasileirao,2013,35,Arena do Grêmio,mandante,GREMIO - RS,pro,Elano,69.0
Brasileirao,2013,36,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Chiquinho,23.0
Brasileirao,2013,36,Moisés Lucarelli,visitante,ATLETICO - PR,pro,Paulo Baier,35.0
Brasileirao,2013,36,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,William,46.0
Brasileirao,2013,36,Moisés Lucarelli,visitante,ATLETICO - PR,pro,Ederson,56.0
Brasileirao,2013,36,Moisés Lucarelli,visitante,ATLETICO - PR,pro,Everton,63.0
Brasileirao,2013,36,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,William,85.0
Brasileirao,2013,36,Moisés Lucarelli,visitante,ATLETICO - PR,pro,Marcao,90.5
Brasileirao,2013,37,Heriberto Hulse,mandante,CRICIUMA - SC,pro,Joao Vitor,16.0
Brasileirao,2013,37,Heriberto Hulse,mandante,CRICIUMA - SC,pro,Giancarlo,57.0
Brasileirao,2013,37,Heriberto Hulse,mandante,CRICIUMA - SC,pro,Matheus Ferraz,68.0
Brasileirao,2013,37,Heriberto Hulse,visitante,SANTOS - SP,pro,Neilton,90.5
Brasileirao,2013,38,Arena do Jacaré,mandante,CRUZEIRO - MG,pro,Dagoberto,85.0
Brasileirao,2013,39,Couto Pereira,mandante,CORITIBA - PR,pro,Robinho,15.0
Brasileirao,2013,39,Couto Pereira,visitante,FLUMINENSE - RJ,pro,Carlinhos,22.0
Brasileirao,2013,39,Couto Pereira,mandante,CORITIBA - PR,pro,Alex,87.0
Brasileirao,2013,40,Canindé,visitante,INTERNACIONAL - RS,pro,Rafael Moura,24.0
Brasileirao,2013,40,Canindé,mandante,PORTUGUESA - SP,pro,Canete,54.0
Brasileirao,2013,41,Raulino de Oliveira,visitante,BAHIA - BA,pro,Fernandao,7.0
Brasileirao,2013,41,Raulino de Oliveira,mandante,VASCO DA GAMA - RJ,pro,Carlos Alberto,21.0
Brasileirao,2013,42,Cláudio Moacyr,visitante,GOIAS - GO,pro,Vitor,70.0
Brasileirao,2013,42,Cláudio Moacyr,mandante,FLUMINENSE - RJ,pro,Rafael Sobis,81.0
Brasileirao,2013,42,Cláudio Moacyr,mandante,FLUMINENSE - RJ,pro,Denilson,86.0
Brasileirao,2013,44,Jóia da Princesa,mandante,VITORIA - BA,pro,Luis,27.0
Brasileirao,2013,44,Jóia da Princesa,visitante,ATLETICO - PR,pro,Ederson,30.0
Brasileirao,2013,44,Jóia da Princesa,mandante,VITORIA - BA,pro,Max,35.0
Brasileirao,2013,44,Jóia da Princesa,visitante,ATLETICO - PR,pro,Luiz Alberto da Silva Oliveira,80.0
Brasileirao,2013,44,Jóia da Princesa,mandante,VITORIA - BA,pro,Escudero,87.0
Brasileirao,2013,45,Arena do Grêmio,visitante,SAO PAULO - SP,pro,Luis Fabiano,41.0
Brasileirao,2013,45,Arena do Grêmio,mandante,GREMIO - RS,pro,K. Giacomazzi,86.0
Brasileirao,2013,46,Moisés Lucarelli,visitante,BOTAFOGO - RJ,pro,Seedorf,31.0
Brasileirao,2013,46,Moisés Lucarelli,visitante,BOTAFOGO - RJ,pro,Antonio Carlos,36.0
Brasileirao,2013,47,Heriberto Hulse,visitante,FLAMENGO - RJ,pro,Hernane,37.0
Brasileirao,2013,47,Heriberto Hulse,visitante,FLAMENGO - RJ,pro,Gabriel,52.0
Brasileirao,2013,47,Heriberto Hulse,visitante,FLAMENGO - RJ,pro,Gabriel,78.0
Brasileirao,2013,48,Arena do Jacaré,visitante,INTERNACIONAL - RS,pro,Otavio,23.0
Brasileirao,2013,48,Arena do Jacaré,mandante,CRUZEIRO - MG,pro,Elber,31.0
Brasileirao,2013,48,Arena do Jacaré,mandante,CRUZEIRO - MG,pro,Éverton Ribeiro,62.0
Brasileirao,2013,48,Arena do Jacaré,visitante,INTERNACIONAL - RS,pro,Gabriel,73.0
Brasileirao,2013,49,Couto Pereira,mandante,CORITIBA - PR,pro,Deivid,1.0
Brasileirao,2013,50,Vila Belmiro,mandante,SANTOS - SP,pro,Cicero,4.0
Brasileirao,2013,51,Arena Pernambuco,mandante,BOTAFOGO - RJ,pro,Seedorf,83.0
Brasileirao,2013,52,Mané Garrincha,mandante,FLAMENGO - RJ,pro,Marcelo Moreno,8.0
Brasileirao,2013,52,Mané Garrincha,mandante,FLAMENGO - RJ,pro,Caceres,47.0
Brasileirao,2013,52,Mané Garrincha,visitante,CORITIBA - PR,pro,Chico,52.0
Brasileirao,2013,52,Mané Garrincha,visitante,CORITIBA - PR,pro,Alex,59.0
Brasileirao,2013,53,Morumbi,visitante,SANTOS - SP,pro,Giva,57.0
Brasileirao,2013,53,Morumbi,visitante,SANTOS - SP,pro,Cicero,81.0
Brasileirao,2013,54,Fonte Nova,visitante,CORINTHIANS - SP,pro,Alexandre Pato,32.0
Brasileirao,2013,54,Fonte Nova,visitante,CORINTHIANS - SP,pro,Alexandre Pato,42.0
Brasileirao,2013,55,Centenário,mandante,INTERNACIONAL - RS,contra,Nei,16.0
Brasileirao,2013,55,Centenário,mandante,INTERNACIONAL - RS,pro,Forlan,38.0
Brasileirao,2013,55,Centenário,visitante,VASCO DA GAMA - RJ,pro,Andre Felipe,45.0
Brasileirao,2013,55,Centenário,mandante,INTERNACIONAL - RS,pro,Indio,55.0
Brasileirao,2013,55,Centenário,visitante,VASCO DA GAMA - RJ,pro,Rafael Vaz,64.0
Brasileirao,2013,55,Centenário,mandante,INTERNACIONAL - RS,pro,Rafael Moura,72.0
Brasileirao,2013,55,Centenário,mandante,INTERNACIONAL - RS,pro,Dalessandro,75.0
Brasileirao,2013,55,Centenário,visitante,VASCO DA GAMA - RJ,pro,Fellipe,84.0
Brasileirao,2013,56,Serra Dourada,mandante,GOIAS - GO,pro,Walter,52.0
Brasileirao,2013,57,Arena Pernambuco,visitante,PONTE PRETA - SP,pro,Diego Sacoman,11.0
Brasileirao,2013,57,Arena Pernambuco,visitante,PONTE PRETA - SP,pro,William,43.0
Brasileirao,2013,57,Arena Pernambuco,visitante,PONTE PRETA - SP,pro,Rildo,55.0
Brasileirao,2013,57,Arena Pernambuco,mandante,NAUTICO - PE,pro,Herlison,72.0
Brasileirao,2013,58,Independência,mandante,ATLETICO - MG,pro,Rosinei,11.0
Brasileirao,2013,58,Independência,visitante,CRICIUMA - SC,contra,Luan,26.0
Brasileirao,2013,58,Independência,mandante,ATLETICO - MG,pro,Alecsandro,47.0
Brasileirao,2013,58,Independência,mandante,ATLETICO - MG,pro,Leleu,82.0
Brasileirao,2013,58,Independência,visitante,CRICIUMA - SC,pro,Wellington Paulista,90.5
Brasileirao,2013,59,Durival Britto,mandante,ATLETICO - PR,pro,Pedro Botelho,76.0
Brasileirao,2013,59,Durival Britto,visitante,GREMIO - RS,pro,Barcos,82.0
Brasileirao,2013,60,Canindé,mandante,PORTUGUESA - SP,pro,Valdomiro Duarte de Macedo,4.0
Brasileirao,2013,60,Canindé,visitante,CRUZEIRO - MG,pro,Bruno Rodrigo,17.0
Brasileirao,2013,61,Mané Garrincha,visitante,FLAMENGO - RJ,pro,Paulinho,30.0
Brasileirao,2013,62,Cláudio Moacyr,visitante,INTERNACIONAL - RS,pro,Dalessandro,19.0
Brasileirao,2013,62,Cláudio Moacyr,visitante,INTERNACIONAL - RS,pro,Forlan,33.0
Brasileirao,2013,62,Cláudio Moacyr,mandante,FLUMINENSE - RJ,pro,Carlinhos,34.0
Brasileirao,2013,62,Cláudio Moacyr,visitante,INTERNACIONAL - RS,pro,Forlan,40.0
Brasileirao,2013,62,Cláudio Moacyr,mandante,FLUMINENSE - RJ,pro,Fred,52.0
Brasileirao,2013,63,Pacaembu,visitante,ATLETICO - MG,pro,Rosinei,36.0
Brasileirao,2013,64,Manoel Barradas,visitante,SAO PAULO - SP,pro,Aloisio,9.0
Brasileirao,2013,64,Manoel Barradas,mandante,VITORIA - BA,pro,Dinei,20.0
Brasileirao,2013,64,Manoel Barradas,mandante,VITORIA - BA,pro,Max,29.0
Brasileirao,2013,64,Manoel Barradas,visitante,SAO PAULO - SP,pro,Rogerio,35.0
Brasileirao,2013,64,Manoel Barradas,mandante,VITORIA - BA,pro,Max,55.0
Brasileirao,2013,65,Arena do Grêmio,mandante,GREMIO - RS,pro,Vargas,13.0
Brasileirao,2013,65,Arena do Grêmio,visitante,BOTAFOGO - RJ,pro,Seedorf,20.0
Brasileirao,2013,65,Arena do Grêmio,mandante,GREMIO - RS,pro,Vargas,34.0
Brasileirao,2013,68,Mineirão,mandante,CRUZEIRO - MG,pro,Ricardo Goulart,9.0
Brasileirao,2013,68,Mineirão,mandante,CRUZEIRO - MG,pro,Vinicius Araujo,54.0
Brasileirao,2013,68,Mineirão,mandante,CRUZEIRO - MG,pro,Vinicius Araujo,70.0
Brasileirao,2013,69,Couto Pereira,mandante,CORITIBA - PR,pro,Geraldo,56.0
Brasileirao,2013,70,Vila Belmiro,mandante,SANTOS - SP,pro,Neilton,1.0
Brasileirao,2013,70,Vila Belmiro,mandante,SANTOS - SP,pro,Willian José,11.0
Brasileirao,2013,70,Vila Belmiro,mandante,SANTOS - SP,pro,Neilton,74.0
Brasileirao,2013,70,Vila Belmiro,visitante,PORTUGUESA - SP,pro,Bruno Moraes,87.0
Brasileirao,2013,70,Vila Belmiro,mandante,SANTOS - SP,pro,Giva,90.5
Brasileirao,2013,71,São Januário,mandante,BOTAFOGO - RJ,pro,Elias,49.0
Brasileirao,2013,71,São Januário,mandante,BOTAFOGO - RJ,pro,Renato,77.0
Brasileirao,2013,72,Maracanã,visitante,VASCO DA GAMA - RJ,pro,Juninho,16.0
Brasileirao,2013,72,Maracanã,visitante,VASCO DA GAMA - RJ,pro,Andre Felipe,46.0
Brasileirao,2013,72,Maracanã,mandante,FLUMINENSE - RJ,pro,Carlinhos,56.0
Brasileirao,2013,72,Maracanã,visitante,VASCO DA GAMA - RJ,pro,Carlos,81.0
Brasileirao,2013,73,Morumbi,visitante,CRUZEIRO - MG,pro,Luan,51.0
Brasileirao,2013,73,Morumbi,visitante,CRUZEIRO - MG,pro,Luan,78.0
Brasileirao,2013,73,Morumbi,visitante,CRUZEIRO - MG,pro,Luan,81.0
Brasileirao,2013,75,Centenário,mandante,INTERNACIONAL - RS,pro,Juan,90.5
Brasileirao,2013,76,Serra Dourada,visitante,PORTUGUESA - SP,pro,Bruno Moraes,39.0
Brasileirao,2013,76,Serra Dourada,mandante,GOIAS - GO,pro,Renan Oliveira,44.0
Brasileirao,2013,76,Serra Dourada,mandante,GOIAS - GO,pro,Renan Oliveira,66.0
Brasileirao,2013,77,Heriberto Hulse,mandante,CRICIUMA - SC,pro,Wellington Paulista,25.0
Brasileirao,2013,77,Heriberto Hulse,visitante,GREMIO - RS,pro,Ze Roberto,37.0
Brasileirao,2013,77,Heriberto Hulse,mandante,CRICIUMA - SC,pro,Matheus Ferraz,74.0
Brasileirao,2013,78,Independência,mandante,ATLETICO - MG,pro,Marcos Rocha,6.0
Brasileirao,2013,78,Independência,mandante,ATLETICO - MG,pro,Jo,23.0
Brasileirao,2013,78,Independência,mandante,ATLETICO - MG,pro,Jo,71.0
Brasileirao,2013,78,Independência,mandante,ATLETICO - MG,pro,Alecsandro,83.0
Brasileirao,2013,79,Durival Britto,mandante,ATLETICO - PR,pro,Marcelo Cirino,5.0
Brasileirao,2013,79,Durival Britto,visitante,CORINTHIANS - SP,pro,Alexandre Pato,25.0
Brasileirao,2013,80,Vila Belmiro,mandante,SANTOS - SP,pro,Neilton,20.0
Brasileirao,2013,80,Vila Belmiro,visitante,CORITIBA - PR,pro,Alex,40.0
Brasileirao,2013,80,Vila Belmiro,mandante,SANTOS - SP,pro,Cicero,64.0
Brasileirao,2013,80,Vila Belmiro,visitante,CORITIBA - PR,pro,Alex,87.0
Brasileirao,2013,81,São Januário,mandante,VASCO DA GAMA - RJ,pro,Juninho,8.0
Brasileirao,2013,81,São Januário,mandante,VASCO DA GAMA - RJ,pro,Rafael Vaz,55.0
Brasileirao,2013,81,São Januário,visitante,CRICIUMA - SC,pro,Ivo,61.0
Brasileirao,2013,81,São Januário,visitante,CRICIUMA - SC,pro,Wellington Paulista,71.0
Brasileirao,2013,81,São Januário,mandante,VASCO DA GAMA - RJ,pro,Edmilson dos Santos Silva,72.0
Brasileirao,2013,82,Maracanã,visitante,BOTAFOGO - RJ,pro,Rafael Marques,22.0
Brasileirao,2013,82,Maracanã,mandante,FLAMENGO - RJ,pro,Elias,90.5
Brasileirao,2013,84,Fonte Nova,mandante,BAHIA - BA,pro,Marquinhos Gabriel,2.0
Brasileirao,2013,84,Fonte Nova,mandante,BAHIA - BA,pro,Marquinhos Gabriel,32.0
Brasileirao,2013,84,Fonte Nova,visitante,GOIAS - GO,pro,Thiago Mendes,33.0
Brasileirao,2013,85,Arena do Grêmio,mandante,GREMIO - RS,pro,Riveros,50.0
Brasileirao,2013,85,Arena do Grêmio,mandante,GREMIO - RS,pro,K. Giacomazzi,84.0
Brasileirao,2013,86,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Rildo,49.0
Brasileirao,2013,87,Arena Pernambuco,mandante,NAUTICO - PE,pro,Derley,72.0
Brasileirao,2013,87,Arena Pernambuco,mandante,NAUTICO - PE,pro,Maikon,88.0
Brasileirao,2013,87,Arena Pernambuco,mandante,NAUTICO - PE,pro,Rogerio,90.5
Brasileirao,2013,88,Mineirão,visitante,ATLETICO - MG,pro,Alecsandro,18.0
Brasileirao,2013,88,Mineirão,mandante,CRUZEIRO - MG,pro,Éverton Ribeiro,32.0
Brasileirao,2013,88,Mineirão,mandante,CRUZEIRO - MG,pro,Ricardo Goulart,43.0
Brasileirao,2013,88,Mineirão,mandante,CRUZEIRO - MG,pro,Nilton,53.0
Brasileirao,2013,88,Mineirão,mandante,CRUZEIRO - MG,pro,Ricardo Goulart,57.0
Brasileirao,2013,89,Couto Pereira,visitante,VITORIA - BA,pro,Max,8.0
Brasileirao,2013,89,Couto Pereira,mandante,CORITIBA - PR,pro,Alex,45.5
Brasileirao,2013,90,Canindé,visitante,ATLETICO - PR,pro,Manoel,7.0
Brasileirao,2013,90,Canindé,mandante,PORTUGUESA - SP,pro,Moises Moura Pinheiro,11.0
Brasileirao,2013,90,Canindé,mandante,PORTUGUESA - SP,pro,Gilberto,22.0
Brasileirao,2013,90,Canindé,visitante,ATLETICO - PR,pro,Guilherme Dellatorre,63.0
Brasileirao,2013,90,Canindé,visitante,ATLETICO - PR,pro,Léo,90.5
Brasileirao,2013,91,Maracanã,mandante,BOTAFOGO - RJ,pro,Vitinho,31.0
Brasileirao,2013,91,Maracanã,mandante,BOTAFOGO - RJ,pro,Elias,79.0
Brasileirao,2013,92,Maracanã,mandante,FLUMINENSE - RJ,pro,Fred,77.0
Brasileirao,2013,93,Pacaembu,mandante,CORINTHIANS - SP,pro,Emerson Sheik,34.0
Brasileirao,2013,93,Pacaembu,mandante,CORINTHIANS - SP,pro,Paulo Andre,79.0
Brasileirao,2013,94,Fonte Nova,mandante,BAHIA - BA,pro,Fernandao,29.0
Brasileirao,2013,94,Fonte Nova,mandante,BAHIA - BA,pro,Wallyson,45.5
Brasileirao,2013,94,Fonte Nova,mandante,BAHIA - BA,pro,Marquinhos Gabriel,78.0
Brasileirao,2013,95,Estádio do Vale,visitante,SANTOS - SP,pro,Thiago Ribeiro,27.0
Brasileirao,2013,95,Estádio do Vale,visitante,SANTOS - SP,pro,Renato Abreu,67.0
Brasileirao,2013,95,Estádio do Vale,mandante,INTERNACIONAL - RS,pro,Dalessandro,75.0
Brasileirao,2013,96,Serra Dourada,visitante,VASCO DA GAMA - RJ,pro,Pedro Ken,16.0
Brasileirao,2013,96,Serra Dourada,mandante,GOIAS - GO,pro,Walter,87.0
Brasileirao,2013,97,Arena Pernambuco,visitante,SAO PAULO - SP,pro,Aloisio,73.0
Brasileirao,2013,98,Independência,mandante,ATLETICO - MG,pro,Bernard,79.0
Brasileirao,2013,98,Independência,visitante,ATLETICO - PR,pro,Everton,85.0
Brasileirao,2013,98,Independência,visitante,ATLETICO - PR,pro,Ederson,87.0
Brasileirao,2013,99,Couto Pereira,visitante,PONTE PRETA - SP,pro,William,3.0
Brasileirao,2013,99,Couto Pereira,mandante,CORITIBA - PR,pro,Lincoln,23.0
Brasileirao,2013,99,Couto Pereira,mandante,CORITIBA - PR,pro,Robinho,26.0
Brasileirao,2013,99,Couto Pereira,visitante,PONTE PRETA - SP,pro,Andres,46.0
Brasileirao,2013,99,Couto Pereira,visitante,PONTE PRETA - SP,pro,William,49.0
Brasileirao,2013,99,Couto Pereira,mandante,CORITIBA - PR,pro,Alex,55.0
Brasileirao,2013,99,Couto Pereira,mandante,CORITIBA - PR,pro,Lincoln,58.0
Brasileirao,2013,99,Couto Pereira,mandante,CORITIBA - PR,pro,Robinho,88.0
Brasileirao,2013,100,Canindé,mandante,PORTUGUESA - SP,pro,Bruno,68.0
Brasileirao,2013,100,Canindé,visitante,CRICIUMA - SC,pro,Elton,90.5
Brasileirao,2013,101,Maracanã,visitante,BOTAFOGO - RJ,pro,Rafael Marques,23.0
Brasileirao,2013,101,Maracanã,visitante,BOTAFOGO - RJ,pro,Seedorf,29.0
Brasileirao,2013,101,Maracanã,mandante,VASCO DA GAMA - RJ,pro,Andre Felipe,44.0
Brasileirao,2013,101,Maracanã,mandante,VASCO DA GAMA - RJ,pro,Andre Felipe,46.0
Brasileirao,2013,101,Maracanã,visitante,BOTAFOGO - RJ,pro,Rafael Marques,48.0
Brasileirao,2013,102,Mané Garrincha,mandante,FLAMENGO - RJ,pro,Nixon,7.0
Brasileirao,2013,102,Mané Garrincha,mandante,FLAMENGO - RJ,pro,Elias,13.0
Brasileirao,2013,102,Mané Garrincha,mandante,FLAMENGO - RJ,pro,Paulinho,71.0
Brasileirao,2013,103,Morumbi,mandante,SAO PAULO - SP,pro,Aloisio,14.0
Brasileirao,2013,103,Morumbi,visitante,BAHIA - BA,pro,Talisca,63.0
Brasileirao,2013,103,Morumbi,visitante,BAHIA - BA,pro,Leandro,87.0
Brasileirao,2013,104,Manoel Barradas,visitante,PORTUGUESA - SP,pro,Canete,64.0
Brasileirao,2013,104,Manoel Barradas,mandante,VITORIA - BA,pro,Danilo Tarracha,71.0
Brasileirao,2013,104,Manoel Barradas,mandante,VITORIA - BA,pro,Fabricio,86.0
Brasileirao,2013,105,Arena do Grêmio,mandante,GREMIO - RS,pro,Barcos,18.0
Brasileirao,2013,105,Arena do Grêmio,visitante,INTERNACIONAL - RS,pro,Leandro Damiao,20.0
Brasileirao,2013,106,Moisés Lucarelli,visitante,FLUMINENSE - RJ,pro,Gum,49.0
Brasileirao,2013,106,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,William,85.0
Brasileirao,2013,107,Heriberto Hulse,visitante,CORINTHIANS - SP,pro,Renato Augusto,10.0
